,index,Book,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Author,Image,Year,Description,Buy,max_val,max_col
0,0,Stepping to a New Day,0.0,0.0,0.0,0.13986574113368988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17168205976486206,0.0,0.011552933603525162,0.0,0.0,0.0,0.5198691487312317,0.13760149478912354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015456193126738071,Beverly Jenkins,https://i.imgur.com/AJuixZy.jpg,2016.0,"In Henry Adams, Kansas, you can't start over without stirring things up...

Many a good woman has had to leave a no-good man, but how many of them took a back-seat to his 600-lb. hog? On her own for the first time, Genevieve Gibbs is ecstatic, even if certain people preferred the doormat version of Ms. Gibbs. Finding someone who appreciates the 'new' her has only just hit Gen's to-do list when T.C. Barbour appears in her life.

A tiny Kansas town is a far cry from his native Oakland, California, but it's just the change T. C. needs. While helping his divorced nephew acclimate to single fatherhood, T. C. lands a gig driving a limo for the most powerful woman in Henry Adams. It's a great way to meet people--and one in particular has already made the job worthwhile. All it takes is a short trip from the airport for Genevieve to snag T.C.'s attention for good.

But it wouldn't be Henry Adams without adding more drama to the mix. When Gen's ex Riley returns with his hog in tow, it sets off a chain of events that can ruin everything--unless the residents pull together once again to save the day.",https://www.goodreads.com/book/show/27064404-stepping-to-a-new-day?from_search=true&from_srp=true&qid=gVj3OV2ROV&rank=1,0.5198691487312317,20.0
1,1,Her Lover's Legacy,0.0,0.0,0.0,0.0,0.0,0.059285927563905716,0.0,0.0,0.0,0.031402770429849625,0.023937448859214783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4567354619503021,0.0,0.0,0.40794581174850464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrianne Byrd,https://m.media-amazon.com/images/I/51QRhQpBffL._SY346_.jpg,2008.0,"Heir-apparent Malcolm Braddock may be the sexiest community activist under the Houston sun, but clearly he's met his match in Gloria Kingsley, the late senator Harmon Braddock's strikingly beautiful executive assistant. Both were recently spotted in a limo in a very...um...compromising position, and it appears Ms. Kingsley is influencing more than the brooding, lone-wolf bachelor's normally conservative sense of fashion (when she lets him stay dressed, of course!). We can conclude that Gloria is on a mission to make No-Commitments-Malcolm her Mr. Right. But with rumors flying about Senator Braddockand a few dirty little secrets that didn't die with himcan she get Malcolm to secure his father's mantle as well?",https://www.amazon.com/gp/product/0373860765/ref=x_gr_w_bb_glide_sout?ie=UTF8&tag=x_gr_w_bb_glide_sout-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0373860765&SubscriptionId=1MGPYB6YW3HWK55XCGG2,0.4567354619503021,18.0
2,2,Island Fling with the Tycoon,0.0,0.0,0.1354912668466568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13810530304908752,0.0,0.2555837333202362,0.0,0.0,0.0,0.0,0.08768514543771744,0.0,0.0,0.0,0.0,0.0,0.0,0.3657936155796051,0.0,Therese Beharrie,https://m.media-amazon.com/images/I/51Cqm0PpgnL._SY346_.jpg,2019.0,"Could a fairytale weddindlead to her own love story? Sparks fly when Piper Evans meets tycoon Caleb Martin on the way to her brother's wedding. Gorgeous but uncompromising he's the kind of man heartbroken Piper has sworn to stay away from. Yet when the perfect wedding turns to disaster, Piper must search for the runaway groom with Caleb's help! Island hopping around Greece, Piper finds herself increasingly tempted by the man whose totally off limits.",https://www.amazon.com/Island-Fling-Tycoon-Harlequin-Romance/dp/1335499539/ref=sr_1_1?dchild=1&keywords=island+fling+with+the+tycoon&qid=1615770036&s=books&sr=1-1,0.3657936155796051,28.0
3,3,The Kingmaker,0.0,0.0,0.0,0.06372248381376266,0.0,0.0,0.0,0.0,0.0,0.0,0.8666059970855713,0.0,0.0,0.0,0.013233544304966927,0.0,0.0,0.0,0.0,0.0,0.0,0.022529393434524536,0.0,0.0,0.0,0.0,0.0,0.0,0.022953752428293228,0.0,Kennedy Ryan,https://i.imgur.com/WgtINQb.jpg,2019.0,"Power. Passion. Betrayal. Raised to rule, bred to lead and weaned on a diet of ruthless ambition. Raised to rule, bred to lead and weaned on a diet of ruthless ambition. In a world of haves and have nots, my family has it all, and I want nothing to do with it. My path takes me far from home and paints me as the black sheep. At odds with my father, I'm determined to build my own empire. I have rules, but Lennix Hunter is the exception to every one of them. From the moment we meet, something sparks between us. But my family stole from hers and my father is the man she hates most. I lied to have her, and will do anything to keep her. Though she tries to hate me, too, the inexorable pull between us will not be denied. And neither will I.",https://www.amazon.com/Kingmaker-All-Kings-Duet-Book-ebook/dp/B07ZMLQB9V/ref=sr_1_1?dchild=1&keywords=The+Kingmaker&qid=1615770056&s=books&sr=1-1,0.8666059970855713,10.0
4,4,The Write Escape: An Irish Romance,0.0,0.0,0.18873362243175507,0.051471956074237823,0.0,0.0,0.0,0.0,0.0,0.02045760117471218,0.0,0.0,0.0,0.0,0.24617156386375427,0.11005721986293793,0.0,0.0,0.05342714115977287,0.0,0.0,0.13354277610778809,0.0,0.0,0.011989017948508263,0.0,0.0,0.0,0.16477519273757935,0.0,Charish Reid,https://m.media-amazon.com/images/I/419e+vtoBXL._SY346_.jpg,2019.0,"Take one heartbroken Chicago girl

Literary editor Antonia Harper had it allthe career, the man, the future. That was then. Now Antonia is jobless, alone and at a crossroads. What better time to travel the world? A solo honeymoon on the Emerald Isle will be like hitting the reset button. No distractions, no drama.

Add some luck o' the Irish

Aiden Byrnes may be a literature professor, but words fail him when he meets the woman staying in the cottage next door. Tully Cross is meant to be a sleepy little village, and he's meant to be on a working holiday--not a vacation, and most definitely not with his beautiful neighbor.

And you get some mighty good craic

They say laughter is the best medicine--and as it turns out, superhot sex isn't so bad either. Antonia and Aiden's spark quickly grows into what could be something special, if they're willing to take the leap. Ending up an ocean apart is unthinkable, and when real life comes calling, there's no ignoring that leap anymore...",https://www.amazon.com/Write-Escape-Charish-Reid-ebook/dp/B07Q3LCXQ9/ref=sr_1_1?dchild=1&keywords=The+Write+Escape&qid=1615770261&s=books&sr=1-1,0.24617156386375427,14.0
5,5,Higher Love,0.0,0.0,0.011763029731810093,0.0,0.0,0.1348627805709839,0.23946380615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30623534321784973,0.025527605786919594,0.0,0.0,0.013020864687860012,0.0,0.0,0.24752181768417358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexandria House,https://m.media-amazon.com/images/I/515nkoL5MKL.jpg,2016.0,"Popular travel blogger, Greer Kennedy, is living the good life with a successful career and equally as successful fianc until one phone call from a friend opens her eyes to the truth of her relationship. Tall, handsome, and successful in his own right, Derek Hill is dealing with some serious relationship problems as well. When their paths cross, they mutually, but unofficially, decide to share a nightor three or fourof anonymous pleasure. Will they end up experiencing much more than either of them bargained for?",https://www.amazon.com/Higher-Love-After-Book-ebook/dp/B01NAB1HM1/ref=sr_1_3?dchild=1&keywords=Higher+Love&qid=1615770403&s=books&sr=1-3,0.30623534321784973,14.0
6,6,Go Deep,0.0,0.0,0.4318595230579376,0.0,0.0,0.053071651607751846,0.10921438038349152,0.0,0.0,0.024205993860960007,0.0,0.0,0.0,0.0,0.21265637874603271,0.010441633872687817,0.0,0.0,0.0,0.0,0.0,0.12045387923717499,0.0,0.0,0.0,0.0,0.0,0.0,0.026147520169615746,0.0,Rilzy Adams,https://m.media-amazon.com/images/I/41wKLNq64-L.jpg,2020.0,"It was all supposed to be so simple. Navaya Howard is an erotic writer in a rut. Her readers are fed up of her stale plots and Navaya can't blame them. She's been celibate for over a year and a half since finding her now ex-boyfriend's side chick's positive pregnancy test on her bathroom counter. How can she write steamy romances if she can barely remember which body parts go into the other? Navaya enlists the help of her best friend, Xander, to revive the inspiration that used to have her sitting comfortably at the top of her game. What happens when the sex hits deeper than either of them expected and the tender emotions can no longer be denied? Navaya and Xander's arrangement has gone far deeper than intended. Will their friendship and their hearts survive the fall?",https://www.amazon.com/Go-Deep-Unexpected-Lovers-Book-ebook/dp/B08BXZ1HJX/ref=sr_1_1?dchild=1&keywords=go+deep&qid=1615770684&s=books&sr=1-1,0.4318595230579376,2.0
7,7,The Sweetest Surrender,0.0,0.0,0.0,0.0,0.0,0.04686767980456352,0.022708917036652565,0.0,0.0,0.763579249382019,0.0,0.0,0.0,0.0,0.04016842693090439,0.0,0.0,0.0,0.012650586664676666,0.0,0.0,0.10129626840353012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stephanie Nicole Norris,https://m.media-amazon.com/images/I/51oJyo3-PbL._SY346_.jpg,2018.0,"Effervescent, Fearless, and self-assured, Selena Strauss is always the life of the party. Her buoyant personality is a pleasure to be around causing her to garner the attention of a hot commodity she's had her eyes on for a while. Being in the proximity of her walking wet-dream, Selena finds herself immensely infatuated with the possibility of their relationship flourishing into something much more. That is until the reality of her parent's divorce becomes the focal point of Selena's life, and suddenly Selena's not so sure that the happily ever after she's chasing is real. Jordan Alexander Rose is unapologetic about his ninety-five percent success rate. As co-owner and lead partner of Rose and Garnett LLC, every move Jordan makes is calculated, methodical, and planned for a spirited outcome. That's why when the woman he's dating, Selena Strauss, begins to lose hope in love; Jordan sets out to win a case that involves more than just a sealed victory, but a succumbed submission of Selena's mind, body, and spirit. He's never been a man to give up and teaching Selena a lesson on true love will invoke her sweetest surrender. The Falling for a Rose series follows each member of the Rose family as they explore this thing called love. However, each book is just as enjoyable if read as a standalone as it is if read in the series order.",https://www.amazon.com/Sweetest-Surrender-Falling-Rose-Book-ebook/dp/B078STRKSD/ref=sr_1_1?dchild=1&keywords=The+Sweetest+Surrender&qid=1615770597&s=books&sr=1-1,0.763579249382019,9.0
8,8,His Diamond Queen,0.0,0.0,0.1494203358888626,0.011414536274969578,0.0,0.0,0.01543973758816719,0.0,0.0,0.0,0.020941326394677162,0.0,0.0,0.0,0.015508466400206089,0.0,0.0,0.0,0.4639800488948822,0.0,0.0,0.2249685376882553,0.0,0.0,0.0,0.0,0.0,0.0,0.09375594556331635,0.0,Lena Hart,https://m.media-amazon.com/images/I/91E1aODCUcL._AC_UY218_.jpg,2014.0,"Loyalty comes at a cost. Former MMA fighter, Jay Price stays connected with Vegas' criminal underbelly and for the right price he'll take on any job. Yet when he's hired to babysit a beautiful, spoiled ""princess,"" he finds himself both fascinatedand irritatedby his sudden attraction to her. As the beloved secret daughter to a ruthless crime boss, Rachelle Silva wants for nothingexcept freedom from her overprotective father. But with her identity compromised and her life threatened, Rachelle is given the one thing she's hated most: an escort. Confused by her attraction to the tattooed ""thug,"" Rachelle sets out to make Jay as aware of her as she is of him. Unfortunately, the threats to her life are all too real and Jay is forced to bring her into his ""world"" until the threat is...eliminated. But he has an even bigger fight on his handshis desire for the one woman he's forbidden to have.",https://www.amazon.com/His-Diamond-Queen-Quartette-Book-ebook/dp/B00QD898YC/ref=sr_1_1?dchild=1&keywords=His+Diamond+Queen&qid=1615770783&s=books&sr=1-1,0.4639800488948822,18.0
9,9,Amazing Grace,0.0,0.0,0.0,0.3673286736011505,0.0,0.0,0.0,0.0,0.0,0.0,0.021664492785930634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5379469394683838,0.0,0.0,0.04216812178492546,0.0,0.0,0.0,0.0,0.0,0.0,0.018821602687239647,0.0,Lena Hart,https://m.media-amazon.com/images/I/81HCQdM1wRL._AC_UY218_.jpg,2017.0,"It's the year 1866-- the Civil War is over and slavery has ended yet life for 18-year-old Gracie Shaw takes an unexpected turn when she is ""encouraged"" to marry a man sight unseen. To ensure the financial stability of her family, she agreesuntil a handsome stranger captures her attention and makes going through with the marriage almost impossible. Determined to start a new life far from his old one, former Confederate soldier Logan Finley boards a train headed westto lawless territory. When he is entrusted with the duty to escort the loveliest woman he's ever met, he realizes he wants more than just a fresh start. He wants her. While Gracie wrestles with her desires, she soon learns that there is more to Mr. Logan Finley than she could have ever imagined. Will she find the grace within to forgive their pastor will her anger and pain blind her to true love?",https://www.amazon.com/Amazing-Grace-Hearts-War-Book-ebook/dp/B072W9MZLT/ref=sr_1_1?dchild=1&keywords=Amazing+Grace+lena+hart&qid=1615770861&s=books&sr=1-1,0.5379469394683838,18.0
